label,independent_units,qipedc_recordings,qipedc_videos,hcmue_videos,vslgh_signers,vslgh_segments,sources,surface_forms
đất trồng cây,1,1,1,0,0,0,qipedc,đất trồng cây
đấu tranh,1,1,1,0,0,0,qipedc,đấu tranh
đấu vật,1,1,1,0,0,0,qipedc,đấu vật
đầu gối,1,1,1,0,0,0,qipedc,đầu gối
đầu hàng,1,1,1,0,0,0,qipedc,đầu hàng
đầu tiên,1,1,1,0,0,0,qipedc,đầu tiên
đầu tàu,1,1,1,0,0,0,qipedc,đầu tàu
đầu tư,1,1,1,0,0,0,qipedc,đầu tư
đầu vai,1,0,0,1,0,0,hcmue,đầu vai
đầu vai phải,1,0,0,1,0,0,hcmue,đầu vai phải
đầu xuôi đuôi lọt,1,1,1,0,0,0,qipedc,đầu xuôi đuôi lọt
đầu đau,6,0,0,0,6,14,vslgh,ĐẦU-ĐAU
đầy,1,1,1,0,0,0,qipedc,đầy
đầy tớ,1,1,1,0,0,0,qipedc,đầy tớ
đầy đủ,1,1,1,0,0,0,qipedc,đầy đủ
đẩy,1,1,1,0,0,0,qipedc,đẩy
đập,7,1,1,0,6,28,qipedc+vslgh,ĐẬP | đập
đắk lắk,1,1,1,0,0,0,qipedc,Đắk Lắk
đắt đỏ,1,1,1,0,0,0,qipedc,đắt đỏ
đằng sau,1,1,1,0,0,0,qipedc,đằng sau
đằng trước,1,1,1,0,0,0,qipedc,đằng trước
đặc biệt,3,3,4,0,0,0,qipedc,đặc biệt
đặc điểm,1,1,1,0,0,0,qipedc,đặc điểm
đặng văn ngữ,1,1,1,0,0,0,qipedc,Đặng Văn Ngữ
đặt,7,1,1,0,6,42,qipedc+vslgh,ĐẶT | đặt
đẹp không?,2,2,3,0,0,0,qipedc,đẹp không?
đẹp không? (người),2,2,3,0,0,0,qipedc,đẹp không? (người)
đẹp mê hồn,1,1,1,0,0,0,qipedc,đẹp mê hồn
đẹp đẽ (như đẹp),1,1,1,0,0,0,qipedc,đẹp đẽ (như đẹp)
đẻ,1,0,0,0,1,1,vslgh,ĐẺ
đếm,1,1,1,0,0,0,qipedc,đếm
đến,6,0,0,0,6,168,vslgh,ĐẾN
đề ca mét (dam),1,1,1,0,0,0,qipedc,đề-ca-mét (dam)
đề ca mét vuông (dam2),1,1,1,0,0,0,qipedc,đề-ca-mét vuông (dam2)
đề nghị,2,2,3,0,0,0,qipedc,đề nghị
đề phòng,1,1,1,0,0,0,qipedc,đề phòng
đề tài,1,1,1,0,0,0,qipedc,đề tài
đề xi mét (dm),1,1,1,0,0,0,qipedc,đề-xi-mét (dm)
đề xi mét khối (dm3),1,1,1,0,0,0,qipedc,đề-xi-mét khối (dm3)
đề xi mét vuông (dm2),1,1,1,0,0,0,qipedc,đề-xi-mét vuông (dm2)
đền,1,1,1,0,0,0,qipedc,đền
đền hùng,1,1,1,0,0,0,qipedc,Đền Hùng
đều,6,0,0,0,6,42,vslgh,ĐỀU
đều đặn,1,1,1,0,0,0,qipedc,đều đặn
để,6,0,0,0,6,27,vslgh,ĐỂ
để (đặt),1,1,1,0,0,0,qipedc,để (đặt)
đệm,1,1,1,0,0,0,qipedc,đệm
đỉnh,1,1,1,0,0,0,qipedc,đỉnh
đỉnh núi,1,1,1,0,0,0,qipedc,đỉnh núi
địa chỉ,2,2,3,0,0,0,qipedc,địa chỉ
địa cầu,1,1,1,0,0,0,qipedc,địa cầu
địa hình,1,1,1,0,0,0,qipedc,địa hình
địa lí,1,1,1,0,0,0,qipedc,địa lí
địa điểm,1,1,1,0,0,0,qipedc,địa điểm
địa đạo,1,0,0,1,0,0,hcmue,địa đạo
địa đạo củ chi,1,1,1,0,0,0,qipedc,địa đạo Củ Chi
định vị,1,1,1,0,0,0,qipedc,định vị
đọc,6,0,0,0,6,42,vslgh,ĐỌC
đọc sách,1,1,1,0,0,0,qipedc,đọc sách
đỏ,6,0,0,0,6,14,vslgh,ĐỎ
đỏ thắm,1,1,1,0,0,0,qipedc,đỏ thắm
đối diện,1,1,1,0,0,0,qipedc,đối diện
đối thoại,1,1,1,0,0,0,qipedc,đối thoại
đối tượng,1,1,1,0,0,0,qipedc,đối tượng
đối xứng,1,1,1,0,0,0,qipedc,đối xứng
đối xử,1,1,1,0,0,0,qipedc,đối xử
đồ chơi,1,1,1,0,0,0,qipedc,đồ chơi
đồ dùng dạy học,1,1,1,0,0,0,qipedc,đồ dùng dạy học
đồ dùng học tập,1,1,1,0,0,0,qipedc,đồ dùng học tập
đồ họa,1,0,0,1,0,0,hcmue,đồ họa
đồ uống,1,1,1,0,0,0,qipedc,đồ uống
đồ ăn,1,1,1,0,0,0,qipedc,đồ ăn
đồn công an,1,1,1,0,0,0,qipedc,đồn công an
đồng bào,1,1,1,0,0,0,qipedc,đồng bào
đồng bằng,1,1,1,0,0,0,qipedc,đồng bằng
đồng bằng duyên hải miền trung,1,1,1,0,0,0,qipedc,đồng bằng duyên hải miền Trung
đồng bằng sông cửu long,1,1,1,0,0,0,qipedc,đồng bằng sông Cửu Long
đồng bằng sông hồng,1,1,1,0,0,0,qipedc,đồng bằng sông Hồng
đồng diễn thể dục,1,0,0,1,0,0,hcmue,đồng diễn thể dục
đồng hồ,2,1,1,1,0,0,qipedc+hcmue,đồng hồ
đồng lúa,1,1,1,0,0,0,qipedc,đồng lúa
đồng nai,1,1,1,0,0,0,qipedc,Đồng Nai
đồng phục,2,2,3,0,0,0,qipedc,đồng phục
đồng ruộng,1,1,1,0,0,0,qipedc,đồng ruộng
đồng tháp mười,1,1,1,0,0,0,qipedc,Đồng Tháp Mười
đồng tiền,1,1,1,0,0,0,qipedc,đồng tiền
đổ nước,1,1,1,0,0,0,qipedc,đổ nước
đổi,1,1,1,0,0,0,qipedc,đổi
đổi mới,1,1,1,0,0,0,qipedc,đổi mới
độc hại,1,1,1,0,0,0,qipedc,độc hại
độc lập,1,1,1,0,0,0,qipedc,độc lập
độc thân,6,0,0,0,6,14,vslgh,ĐỘC-THÂN
đội thiếu niên,1,1,1,0,0,0,qipedc,đội thiếu niên
đội trưởng,1,1,1,0,0,0,qipedc,đội trưởng
động cơ,1,1,1,0,0,0,qipedc,động cơ
động viên,1,1,1,0,0,0,qipedc,động viên
đỡ,1,1,1,0,0,0,qipedc,đỡ
đợi,8,2,3,0,6,42,qipedc+vslgh,ĐỢI | đợi
đứng,6,0,0,0,6,14,vslgh,ĐỨNG
đứng nghiêm,1,1,1,0,0,0,qipedc,đứng nghiêm
đứng đầu (hàng đầu),1,1,1,0,0,0,qipedc,đứng đầu (hàng đầu)
đựng,1,1,1,0,0,0,qipedc,đựng
ơ,2,1,1,1,0,0,qipedc+hcmue,ơ
ư,1,1,1,0,0,0,qipedc,ư
ưu tiên,2,2,3,0,0,0,qipedc,ưu tiên
ưu điểm,1,1,1,0,0,0,qipedc,ưu điểm
ả rập (nước ả rập),1,1,1,0,0,0,qipedc,Ả Rập (nước Ả Rập)
ảnh,1,0,0,1,0,0,hcmue,ảnh
ảnh hưởng,6,0,0,0,6,14,vslgh,ẢNH-HƯỞNG
ảo thuật,1,1,1,0,0,0,qipedc,ảo thuật
ấm no,1,1,1,0,0,0,qipedc,ấm no
ấm trà,1,1,1,0,0,0,qipedc,ấm trà
ấm áp,2,1,1,1,0,0,qipedc+hcmue,ấm áp
ấm đun nước,1,1,1,0,0,0,qipedc,ấm đun nước
ấn,7,1,1,0,6,28,qipedc+vslgh,ẤN | ấn
ấn tượng,1,1,1,0,0,0,qipedc,ấn tượng
ầm ĩ,1,1,1,0,0,0,qipedc,ầm ĩ
ẩm mốc,1,1,1,0,0,0,qipedc,ẩm mốc
ẩm ướt,2,1,1,1,0,0,qipedc+hcmue,ẩm ướt
ế ẩm,1,1,1,0,0,0,qipedc,ế ẩm
ốc vít,1,1,1,0,0,0,qipedc,ốc vít
ốc điều chỉnh bàn đưa vải,1,0,0,1,0,0,hcmue,ốc điều chỉnh bàn đưa vải
ốm,6,0,0,0,6,14,vslgh,ỐM
ốm đau,1,1,1,0,0,0,qipedc,ốm đau
ống nghe,1,1,1,0,0,0,qipedc,ống nghe
ống nhòm,1,1,1,0,0,0,qipedc,ống nhòm
ống nước,1,1,1,0,0,0,qipedc,ống nước
ống tay áo,1,0,0,1,0,0,hcmue,ống tay áo
ổ,1,0,0,1,0,0,hcmue,ổ
ổn định,1,1,1,0,0,0,qipedc,ổn định
ở ngoài,2,2,3,0,0,0,qipedc,ở ngoài
ở trong,1,1,1,0,0,0,qipedc,ở trong
ở đâu,6,0,0,0,6,84,vslgh,Ở-ĐÂU
ở đây,6,0,0,0,6,13,vslgh,Ở-ĐÂY
ủng,1,1,1,0,0,0,qipedc,ủng
ủng hộ,1,1,1,0,0,0,qipedc,ủng hộ
ủy ban,1,1,1,0,0,0,qipedc,ủy ban
ủy ban nhân dân,1,1,1,0,0,0,qipedc,ủy ban nhân dân
ủy quyền,2,2,3,0,0,0,qipedc,ủy quyền
ức chế,1,1,1,0,0,0,qipedc,ức chế
