label,independent_units,qipedc_recordings,qipedc_videos,hcmue_videos,vslgh_signers,vslgh_segments,sources,surface_forms
tránh thai,1,1,1,0,0,0,qipedc,tránh thai
trêu,1,1,1,0,0,0,qipedc,trêu
trêu tức,1,1,1,0,0,0,qipedc,trêu tức
trình bày,1,1,1,0,0,0,qipedc,trình bày
trình điều khiển,1,0,0,1,0,0,hcmue,trình điều khiển
trình đơn,1,0,0,1,0,0,hcmue,trình đơn
trình độ,1,1,1,0,0,0,qipedc,trình độ
trí khôn,1,1,1,0,0,0,qipedc,trí khôn
trí thức,1,1,1,0,0,0,qipedc,trí thức
trò chơi,1,1,1,0,0,0,qipedc,trò chơi
tròn,1,1,1,0,0,0,qipedc,tròn
tròn trịa (mặt),1,1,1,0,0,0,qipedc,tròn trịa (mặt)
trói tay,1,1,1,0,0,0,qipedc,trói tay
trông chờ,2,2,3,0,0,0,qipedc,trông chờ
trông coi,1,1,1,0,0,0,qipedc,trông coi
trông nhà,1,1,1,0,0,0,qipedc,trông nhà
trông nom,2,2,3,0,0,0,qipedc,trông nom
trùm chăn,1,1,1,0,0,0,qipedc,trùm chăn
trú mưa,1,1,1,0,0,0,qipedc,trú mưa
trúng thưởng,1,1,1,0,0,0,qipedc,trúng thưởng
trúng tuyển,2,2,3,0,0,0,qipedc,trúng tuyển
trăng,2,2,3,0,0,0,qipedc,trăng
trưng bày,1,1,1,0,0,0,qipedc,trưng bày
trước,8,2,3,0,6,28,qipedc+vslgh,TRƯỚC | trước
trường hợp,1,1,1,0,0,0,qipedc,trường hợp
trường mầm non,2,2,3,0,0,0,qipedc,trường mầm non
trường ptcs (cấp 2),2,2,3,0,0,0,qipedc,trường PTCS (cấp 2)
trường thpt ( cấp 3),2,2,3,0,0,0,qipedc,trường THPT ( cấp 3)
trường tiểu học,1,1,2,0,0,0,qipedc,trường tiểu học
trưởng nhóm,1,1,1,0,0,0,qipedc,trưởng nhóm
trưởng thành,1,1,1,0,0,0,qipedc,trưởng thành
trại giam,1,1,1,0,0,0,qipedc,trại giam
trạm xe buýt,1,1,1,0,0,0,qipedc,trạm xe buýt
trạm y tế,1,1,1,0,0,0,qipedc,trạm y tế
trả,6,0,0,0,6,14,vslgh,TRẢ
trả (đt),1,1,1,0,0,0,qipedc,trả (đt)
trả lời,1,1,1,0,0,0,qipedc,trả lời
trả thù,1,1,1,0,0,0,qipedc,trả thù
trầm cảm,6,0,0,0,6,14,vslgh,TRẦM-CẢM
trầm trồ,1,1,1,0,0,0,qipedc,trầm trồ
trần nhà,1,1,1,0,0,0,qipedc,trần nhà
trần quốc toản,1,1,1,0,0,0,qipedc,Trần Quốc Toản
trắng muốt,2,2,3,0,0,0,qipedc,trắng muốt
trắng tay,1,1,1,0,0,0,qipedc,trắng tay
trẻ con/con nít,2,2,3,0,0,0,qipedc,trẻ con/con nít
trọc đầu,2,2,3,0,0,0,qipedc,trọc đầu
trọng nam khinh nữ,1,1,1,0,0,0,qipedc,trọng nam khinh nữ
trọng tài,1,1,1,0,0,0,qipedc,trọng tài
trốn chạy,2,2,3,0,0,0,qipedc,trốn chạy
trốn tìm,1,1,1,0,0,0,qipedc,trốn tìm
trống,1,1,1,0,0,0,qipedc,trống
trống (không có gì),1,1,1,0,0,0,qipedc,trống (không có gì)
trộm cắp,1,1,1,0,0,0,qipedc,trộm cắp
trộn (đt),1,1,1,0,0,0,qipedc,trộn (đt)
trở thành,1,1,1,0,0,0,qipedc,trở thành
trục hoành,1,1,1,0,0,0,qipedc,trục hoành
trục tung,1,1,1,0,0,0,qipedc,trục tung
trục xuất,1,1,1,0,0,0,qipedc,trục xuất
trụi lá,2,2,3,0,0,0,qipedc,trụi lá
trứng,3,3,3,0,0,0,qipedc,trứng
trực nhật,1,1,1,0,0,0,qipedc,trực nhật
trực tiếp,1,1,1,0,0,0,qipedc,trực tiếp
tung tăng,1,1,1,0,0,0,qipedc,tung tăng
tuy hoà,1,1,1,0,0,0,qipedc,Tuy Hoà
tuyên bố,1,1,1,0,0,0,qipedc,tuyên bố
tuyên ngôn,1,1,1,0,0,0,qipedc,tuyên ngôn
tuyên truyền,1,1,1,0,0,0,qipedc,tuyên truyền
tuyệt vọng,1,1,1,0,0,0,qipedc,tuyệt vọng
tuân lệnh,1,1,1,0,0,0,qipedc,tuân lệnh
tuân thủ,1,1,1,0,0,0,qipedc,tuân thủ
tuần,3,3,3,0,0,0,qipedc,tuần
tuần lễ người điếc thế giới,2,2,3,0,0,0,qipedc,tuần lễ người Điếc thế giới
tuần này,2,2,3,0,0,0,qipedc,tuần này
tuần sau,2,2,3,0,0,0,qipedc,tuần sau
tuần trăng mật,1,1,1,0,0,0,qipedc,tuần trăng mật
tuần trước,3,3,3,0,0,0,qipedc,tuần trước
tuốt lúa,1,1,1,0,0,0,qipedc,tuốt lúa
tuổi,6,0,0,0,6,14,vslgh,TUỔI
